time,distance
1523035587.728469,104.177000
1523035587.738760,104.171000
1523035587.749006,104.128000
1523035587.805042,104.168000
1523035587.815206,104.097000
1523035587.872828,104.076000
1523035587.883013,104.055000
1523035587.893744,103.977000
1523035587.949449,103.995000
1523035587.959914,103.950000
1523035588.017115,103.932000
1523035588.027244,103.917000
1523035588.084830,103.883000
1523035588.095162,103.860000
1523035588.105416,103.803000
1523035588.161419,103.824000
1523035588.171649,103.773000
1523035588.229174,103.753000
1523035588.239398,103.736000
1523035588.297033,103.691000
1523035588.307277,103.673000
1523035588.317520,103.631000
1523035588.373457,103.627000
1523035588.383629,103.568000
1523035588.441343,103.554000
1523035588.451569,103.532000
1523035588.507862,103.530000
1523035588.518039,103.496000
1523035588.528561,103.450000
1523035588.585623,103.434000
1523035588.595759,103.382000
1523035588.653288,103.370000
1523035588.663500,103.361000
1523035588.674017,103.318000
1523035588.730029,103.318000
1523035588.740769,103.236000
1523035588.797661,103.272000
1523035588.807816,103.177000
1523035588.864227,103.180000
1523035588.875798,103.172000
1523035588.886761,103.090000
1523035588.942032,103.131000
1523035588.952780,103.078000
1523035589.009676,103.060000
1523035589.019878,103.013000
1523035589.076344,102.998000
1523035589.086513,102.976000
1523035589.097317,102.911000
1523035589.154073,102.928000
1523035589.164255,102.871000
1523035589.221815,102.872000
1523035589.231985,102.852000
1523035589.288331,102.816000
1523035589.299781,102.818000
1523035589.310655,102.757000
1523035589.366159,102.791000
1523035589.376857,102.725000
1523035589.432729,102.712000
1523035589.442934,102.694000
1523035589.500361,102.651000
1523035589.510599,102.629000
1523035589.521291,102.591000
1523035589.578205,102.607000
1523035589.588342,102.550000
1523035589.644802,102.555000
1523035589.656241,102.537000
1523035589.667230,102.508000
1523035589.722779,102.507000
1523035589.733450,102.465000
1523035589.790215,102.472000
1523035589.800408,102.401000
1523035589.856873,102.425000
1523035589.867136,102.400000
1523035589.877526,102.348000
1523035589.935143,102.361000
1523035589.945343,102.292000
1523035590.001245,102.305000
1523035590.011405,102.259000
1523035590.068910,102.213000
1523035590.079094,102.223000
1523035590.089819,102.147000
1523035590.146606,102.198000
1523035590.156720,102.106000
1523035590.213179,102.102000
1523035590.224701,102.073000
1523035590.280949,102.022000
1523035590.291171,102.042000
1523035590.301841,101.978000
1523035590.357672,101.970000
1523035590.367881,101.915000
1523035590.425344,101.915000
1523035590.435491,101.874000
1523035590.446251,101.842000
1523035590.503219,101.850000
1523035590.514279,101.786000
1523035590.569771,101.792000
1523035590.579894,101.746000
1523035590.637394,101.704000
1523035590.647619,101.680000
1523035590.658281,101.647000
1523035590.715143,101.653000
1523035590.725322,101.603000
1523035590.781734,101.579000
1523035590.791900,101.554000
1523035590.849624,101.502000
1523035590.859764,101.505000
1523035590.870583,101.476000
1523035590.926037,101.449000
1523035590.936164,101.418000
1523035590.993794,101.400000
1523035591.003947,101.391000
1523035591.061579,101.343000
1523035591.071729,101.331000
1523035591.082302,101.252000
1523035591.138152,101.290000
1523035591.148296,101.225000
1523035591.205870,101.200000
1523035591.216014,101.169000
1523035591.226850,101.135000
1523035591.283756,101.142000
1523035591.294346,101.090000
1523035591.350136,101.098000
1523035591.360234,101.073000
1523035591.418004,101.036000
1523035591.428144,101.011000
1523035591.438854,100.986000
1523035591.494493,100.977000
1523035591.504655,100.917000
1523035591.562320,100.916000
1523035591.572457,100.893000
1523035591.630043,100.843000
1523035591.640221,100.862000
1523035591.650856,100.799000
1523035591.706582,100.814000
1523035591.716696,100.750000
